Model,RMSE,MAE,R2
linear,0.6905337529167953,0.5244443929541852,0.5344570484634679
ridge,0.6905330158500087,0.524439168655605,0.5344580422919742
lasso,1.0121027203639947,0.7933421566138574,-9.0074273109364e-05
cart,0.5278399564465817,0.3893064309772461,0.7279839953827549
random_forest,0.5376815502179858,0.4019829978964568,0.7177459373372679
lightgbm,0.3640999012270447,0.2578107298635801,0.8705711611782435
mlp,0.5402642127030266,0.39205600783502437,0.7150279057683769
